province,region,constituencies,folder_id,file_count,total_bytes,total_human,per_constituency_bytes,anomalies,error
พังงา,ภาคใต้,2,1OsTJ5mpr5BGxC29w-hUDmJztZQonU6mZ,752,1464672201,1.36 GB,732336100,,
ภูเก็ต,ภาคใต้,3,1AsZpIJhIrt1XEmF8NASilMML_qf4We-C,1861,1203456191,1.12 GB,401152063,,
สมุทรสาคร,ภาคกลาง,4,1UJ_DgxRSWCcGzqsIQxA_vWgZqsZNncD1,1326,1015475306,968.43 MB,253868826,,
สตูล,ภาคใต้,2,1vSbfvVzsd6SCO2gIfw-AHuyJZqo9vovE,866,805894797,768.56 MB,402947398,,
สมุทรสงคราม,ภาคกลาง,1,1KLHjx-aovF3TTcFJdzzrt-nQ7-wWuzAc,522,450475485,429.61 MB,450475485,,
พัทลุง,ภาคใต้,3,1iZAbINx1SXfr50Ul5ljAc68Si7tDV9Sz,82,426564841,406.80 MB,142188280,,
นครนายก,ภาคตะวันออก,2,1P_419iJaH_wsCuKhOJXf0BpbbZ8CCxNG,92,279364998,266.42 MB,139682499,,
นครราชสีมา,ภาคอีสาน,16,1VUAH6skupn_Y1Kbfm5C6WYQSmSqsESNf,8229,23723680471,22.09 GB,1482730029,,
หนองบัวลำภู,ภาคอีสาน,3,1JreB6tOF2w_8QkYActCc4182GBaEUH2u,1087,4123601262,3.84 GB,1374533754,,
อุดรธานี,ภาคอีสาน,10,1picxYRg1bxW0QJyrTGG9zEV762sY--Kz,5154,11195070454,10.43 GB,1119507045,,
ร้อยเอ็ด,ภาคอีสาน,8,1IRJHtBr1ohWfrotTcTbM_Ta39vSlkLkD,8169,15799387664,14.71 GB,1974923458,,
สกลนคร,ภาคอีสาน,7,1EAH4dIYh2hgF0xXVTWNsRggtZS_2zaCD,6899,13723632958,12.78 GB,1960518994,,
แม่ฮ่องสอน,ภาคเหนือ,2,1pM3S1USNWiOptbXo3bohzh5TvibXwWge,0,0,0 B,0,empty_folder,
สุพรรณบุรี,ภาคตะวันตก,5,1t5GO6gg4W6rMGcO8pQOLYKLraVRUgAgR,2058,5840922347,5.44 GB,1168184469,,
ระนอง,ภาคใต้,1,1YHilYNAtKRSrGJw3xRDB1HuzoibkcVRo,0,0,0 B,0,empty_folder,
